,SMILES,Price_EUR_10g
2025,COc1ccc(C(=O)CBr)cc1OC,63
2029,Cc1cc(Br)ccc1O,33
2039,O=C1Cc2ccccc2C1,31
2084,CCCCCC=O,26
2085,N#CC(=O)c1ccccc1,33
2086,Oc1cccnc1Cl,30
2089,O=C(O)c1cc(F)c(Cl)nc1Cl,30
2109,c1ccc(CNc2ncnc3[nH]cnc23)cc1,30
2116,CNC(=O)CCl,30
2119,COc1ccc(OCCC(=O)O)cc1,97
2137,Nc1ccc(C(F)(F)F)cc1N,44
2154,COCCCCO,68
2161,O=C(Cc1ccccc1)c1ccccc1,30
2176,Cc1cc(C(=O)O)n[nH]1,79
2190,O=S(=O)(O)CCN1CCOCC1,30
2200,O=C(O)COc1cccc2ccccc12,54
2207,O=Cc1ccc(-c2ccc(Cl)cc2)o1,78
2252,Cc1cc(C=O)cc(C)c1O,30
2253,CC(C)c1ccc(S(=O)(=O)Cl)cc1,26
2255,Cl.N=C(N)c1ccccn1,69
2268,O=C(O)c1cc(F)cc(F)c1,30
2272,CC(C)OC(=O)c1ccc(O)cc1,26
2276,O=C(O)c1nc(Cl)c(Cl)c(Cl)c1Cl,30
2336,O=C(O)Cc1cccc(Cl)c1,30
2338,CCOc1ccc(NC(N)=S)cc1,64
2347,O=C(O)c1ccc(Br)s1,41
2349,Cl.NNc1ccc(F)cc1F,49
2353,CCN1CCCC1CN,30
2359,CCn1cccn1,38
2375,c1ccc(Cc2nc3ccccc3[nH]2)cc1,21
2402,O=Cc1sc(Cl)nc1Cl,95
2412,CCOC(=O)C1CCCC1=O,30
2426,CC(=O)CS(=O)(=O)c1ccc(C)cc1,33
2429,COC(=O)c1cccc(O)c1,30
2443,Cn1cccc1C=O,33
2452,c1cnoc1,26
2492,CN1CCCC1CCO,88
2493,COc1cc(C=O)cc(OC)c1,30
2500,NCc1ccc(F)cc1C(F)(F)F,65
2516,Cc1cc[nH]c(=O)c1,41
2536,O=[N+]([O-])c1cc(Br)ccc1O,45
2547,O=C1CCCN1c1ccccc1,30
2553,N#Cc1ccc(N)c(C(F)(F)F)c1,49
2555,CON(C)C(=O)CCl,31
2556,Cc1nccs1,41
2575,COC(=O)C=C(C)C,41
2583,CC(C)(C)OC(=O)N1CCCC(C(=O)O)C1,30
2592,NC(=S)Nc1cccc(Br)c1,57
